osmid,x,y,nearest_pharmacy_m,accessibility_band
266316618,10.8390802,48.3174082,1937.976001972169,> 1500 m
266316632,10.8430999,48.3169098,1635.138193284838,> 1500 m
266350793,10.9184672,48.3355047,1551.6466331140614,> 1500 m
266350808,10.9180733,48.3331781,1824.057044591735,> 1500 m
266350819,10.9169946,48.3327015,1751.137324944733,> 1500 m
266350865,10.9165394,48.3267657,1561.1469293530304,> 1500 m
266350869,10.9176999,48.3265318,1650.8018134795336,> 1500 m
266350873,10.9196848,48.3262148,1801.7282425532253,> 1500 m
266350885,10.9230817,48.3258016,2059.860080082566,> 1500 m
266350889,10.9249732,48.3258952,2200.117208211783,> 1500 m
266350909,10.9301052,48.3261132,2580.3515330053474,> 1500 m
266354763,10.9363605,48.3261111,3073.785914730489,> 1500 m
266354765,10.9364853,48.3261923,3060.876350758681,> 1500 m
266354774,10.9363725,48.3280842,2847.164044482402,> 1500 m
266354783,10.9379939,48.3301423,2587.41200706416,> 1500 m
266354794,10.9355179,48.3315558,2392.4307390921763,> 1500 m
266354812,10.9333495,48.3340584,2095.2123080860306,> 1500 m
266354820,10.9341028,48.3360355,1867.0662907788144,> 1500 m
266354822,10.93415,48.3362469,1843.302141858632,> 1500 m
266354827,10.9337611,48.3379149,1653.975074680818,> 1500 m
266354835,10.9328949,48.3393517,1500.3060614237163,> 1500 m
266358489,10.9165445,48.3442492,1904.711360772483,> 1500 m
266811210,10.8682646,48.3051913,1570.771329889761,> 1500 m
266811226,10.8751868,48.3045114,2099.0269627992425,> 1500 m
266811230,10.8793772,48.3049727,1938.2702442565635,> 1500 m
267223579,10.955759,48.3380444,1596.9760613876865,> 1500 m
267287322,10.9317956,48.3664601,1748.394898940819,> 1500 m
267287325,10.9294838,48.369034,1587.350595607882,> 1500 m
267287343,10.9278707,48.3684306,1665.6990399696151,> 1500 m
